model,F1_mean,Prec_mean,Rec_mean,n_nan_f1
Qwen2.5-7B-8bit,0.9343,0.9343,0.9374,0
Qwen2.5-7B,0.9335,0.9331,0.9371,0
Llama-3.1-8B,0.9148,0.9163,0.9157,0
Llama-3.1-8B-8bit,0.8845,0.9217,0.8639,0
Qwen2.5-3B,0.8485,0.8845,0.8396,0
Gemma-3-4B,0.7995,0.8929,0.7576,0
Mistral-Nemo-12B,0.7859,0.9416,0.7249,0
Phi-3.5-mini,0.669,0.827,0.614,1
Llama-3.2-3B,0.5877,0.7959,0.5242,0
Qwen2.5-1.5B,0.48,0.6959,0.4362,4
Phi-4-mini,0.4042,0.5802,0.3962,4
Phi-3-mini,0.2685,0.2796,0.263,20
Gemma-3-1B,0.2043,0.3998,0.1899,13
Llama-3.2-1B,0.1545,0.2609,0.1285,18
Qwen2.5-0.5B,0.0711,0.1223,0.0686,17
DS-R1-Qwen-7B,0.0028,0.0893,0.0014,24
DS-R1-Qwen-1.5B,0.0,0.0,0.0,28
