variable,group,DS-R1-Qwen-1.5B_F1,DS-R1-Qwen-1.5B_Prec,DS-R1-Qwen-1.5B_Rec,DS-R1-Qwen-1.5B_MAE,DS-R1-Qwen-7B_F1,DS-R1-Qwen-7B_Prec,DS-R1-Qwen-7B_Rec,DS-R1-Qwen-7B_MAE,Llama-3.2-1B_F1,Llama-3.2-1B_Prec,Llama-3.2-1B_Rec,Llama-3.2-1B_MAE,Llama-3.2-3B_F1,Llama-3.2-3B_Prec,Llama-3.2-3B_Rec,Llama-3.2-3B_MAE,Llama-3.1-8B-8bit_F1,Llama-3.1-8B-8bit_Prec,Llama-3.1-8B-8bit_Rec,Llama-3.1-8B-8bit_MAE,Llama-3.1-8B_F1,Llama-3.1-8B_Prec,Llama-3.1-8B_Rec,Llama-3.1-8B_MAE,Mistral-Nemo-12B_F1,Mistral-Nemo-12B_Prec,Mistral-Nemo-12B_Rec,Mistral-Nemo-12B_MAE,Phi-3-mini_F1,Phi-3-mini_Prec,Phi-3-mini_Rec,Phi-3-mini_MAE,Phi-3.5-mini_F1,Phi-3.5-mini_Prec,Phi-3.5-mini_Rec,Phi-3.5-mini_MAE,Phi-4-mini_F1,Phi-4-mini_Prec,Phi-4-mini_Rec,Phi-4-mini_MAE,Qwen2.5-0.5B_F1,Qwen2.5-0.5B_Prec,Qwen2.5-0.5B_Rec,Qwen2.5-0.5B_MAE,Qwen2.5-1.5B_F1,Qwen2.5-1.5B_Prec,Qwen2.5-1.5B_Rec,Qwen2.5-1.5B_MAE,Qwen2.5-3B_F1,Qwen2.5-3B_Prec,Qwen2.5-3B_Rec,Qwen2.5-3B_MAE,Qwen2.5-7B-8bit_F1,Qwen2.5-7B-8bit_Prec,Qwen2.5-7B-8bit_Rec,Qwen2.5-7B-8bit_MAE,Qwen2.5-7B_F1,Qwen2.5-7B_Prec,Qwen2.5-7B_Rec,Qwen2.5-7B_MAE,Gemma-3-1B_F1,Gemma-3-1B_Prec,Gemma-3-1B_Rec,Gemma-3-1B_MAE,Gemma-3-4B_F1,Gemma-3-4B_Prec,Gemma-3-4B_Rec,Gemma-3-4B_MAE
vivo_30_dias,binary,,,0.0,,,,0.0,,,,0.0,,0.0519,1.0,0.0267,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.6154,0.6174,0.6133,,,,0.0,,0.9619,1.0,0.9267,,0.9619,1.0,0.9267,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,
causa_obito,categorical,,,0.0,,,,0.0,,0.3077,1.0,0.1818,,0.5333,1.0,0.3636,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.9091,0.9091,0.9091,,1.0,1.0,1.0,,0.3051,0.1875,0.8182,,,,0.0,,0.9524,1.0,0.9091,,0.7059,1.0,0.5455,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,
complicacoes,categorical,,,0.0,,,,0.0,,0.1595,1.0,0.0867,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.8938,0.9919,0.8133,,,,0.0,,0.9867,0.9867,0.9867,,0.7724,0.8,0.7467,,,,0.0,,0.7863,0.9196,0.6867,,0.8782,0.9835,0.7933,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.0,,0.98,0.98,0.98,
etiologia_toast,categorical,,,0.0,,,,0.0,,0.2267,0.2887,0.1867,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.9011,1.0,0.82,,,,0.0,,0.8361,0.8389,0.8333,,0.9347,0.9645,0.9067,,,,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.814,0.8593,0.7733,,0.9533,0.9533,0.9533,
territorio,categorical,,,0.0,,,,0.0,,0.6559,0.8351,0.54,,0.8933,0.8933,0.8933,,0.9533,0.9533,0.9533,,0.9067,0.9067,0.9067,,0.8498,0.9431,0.7733,,,,0.0,,0.8867,0.8867,0.8867,,0.731,0.7571,0.7067,,,,0.0,,0.7933,0.7933,0.7933,,0.8533,0.8533,0.8533,,0.9533,0.9533,0.9533,,0.9533,0.9533,0.9533,,0.6075,0.6224,0.5933,,0.9067,0.9067,0.9067,
tipo,categorical,,,0.0,,,,0.0,,0.0891,0.1134,0.0733,,0.12,0.12,0.12,,0.4733,0.4733,0.4733,,0.4867,0.4867,0.4867,,0.4615,0.5122,0.42,,,,0.0,,0.1631,0.2289,0.1267,,,0.0,0.0,,,,0.0,,0.1672,0.1752,0.16,,0.3267,0.3267,0.3267,,0.2742,0.2752,0.2733,,0.2694,0.2721,0.2667,,0.1672,0.1678,0.1667,,0.2067,0.2067,0.2067,
tratamento,categorical,,,0.0,,,,0.0,,0.332,0.4227,0.2733,,0.54,0.54,0.54,,0.7867,0.7867,0.7867,,0.7933,0.7933,0.7933,,0.7692,0.8537,0.7,,,,0.0,,0.5819,0.5839,0.58,,0.5735,0.6202,0.5333,,,,0.0,,0.4,0.4,0.4,,0.8067,0.8067,0.8067,,0.72,0.72,0.72,,0.7333,0.7333,0.7333,,0.3103,0.3214,0.3,,0.6,0.6,0.6,
door1_to_door2,metric,,,0.0,,,,0.0,,,,0.0,,0.3956,0.75,0.2687,7.89,0.7257,0.8913,0.6119,11.02,0.855,0.875,0.8358,14.76,0.3457,1.0,0.209,0.0,,,0.0,,0.5657,0.875,0.4179,3.55,0.2114,0.2321,0.194,45.96,0.0288,0.0278,0.0299,76.45,,,0.0,,0.6763,0.6528,0.7015,33.28,0.9781,0.9571,1.0,0.0,0.9781,0.9571,1.0,0.0,,,0.0,,0.8,0.9583,0.6866,6.25
door_in_door_out,metric,,,0.0,,,,0.0,,,,0.0,,0.1395,0.3158,0.0896,54.44,0.7207,0.9091,0.597,9.05,0.8682,0.9032,0.8358,7.25,0.3457,1.0,0.209,0.0,,,0.0,,0.1798,0.3636,0.1194,45.0,0.5781,0.6066,0.5522,19.55,0.1198,0.1,0.1493,35.15,,,0.0,,0.7591,0.7429,0.7761,3.93,0.9781,0.9571,1.0,0.0,0.9781,0.9571,1.0,0.0,,0.0,0.0,,0.5714,0.7111,0.4776,27.67
door_to_imaging,metric,,,0.0,,,,0.0,,,,0.0,,0.5918,0.9062,0.4394,1.89,0.8155,0.9406,0.7197,3.92,0.9195,0.9302,0.9091,6.12,0.5685,0.8615,0.4242,0.0,,,0.0,,0.3049,0.7812,0.1894,6.13,0.0719,0.7143,0.0379,4.17,0.2081,0.439,0.1364,14.71,,,0.0,,0.8949,0.92,0.8712,1.43,0.9742,0.9496,1.0,0.0,0.9706,0.9429,1.0,0.0,0.015,1.0,0.0076,0.0,0.4277,0.9024,0.2803,0.0
