model,Timestamps,Métricas temp.,Escalas clínicas,Categóricas,Binário,Numérico
DS-R1-Qwen-1.5B,0.0,0.0,0.0,0.0,0.0,0.0
DS-R1-Qwen-7B,0.0,0.0,0.0159,0.0,0.0,0.0
Gemma-3-1B,0.0305,0.0021,0.1127,0.4832,1.0,1.0
Gemma-3-4B,0.7796,0.6746,0.9563,0.7744,1.0,1.0
Llama-3.1-8B,0.9589,0.8424,0.99,0.8644,1.0,0.9091
Llama-3.1-8B-8bit,0.948,0.7298,0.99,0.8689,1.0,0.9091
Llama-3.2-1B,0.0,0.0,0.4495,0.2952,0.0,0.3077
Llama-3.2-3B,0.6589,0.4482,0.6752,0.6811,0.0519,0.5333
Mistral-Nemo-12B,0.8848,0.4446,0.9878,0.8126,1.0,1.0
Phi-3-mini,0.0,0.0,0.9217,0.1515,1.0,1.0
Phi-3.5-mini,0.6602,0.3891,0.8542,0.7424,1.0,1.0
Phi-4-mini,0.2884,0.149,0.6549,0.5528,0.6154,0.7619
Qwen2.5-0.5B,0.1724,0.0628,0.0344,0.0,0.0,0.0
Qwen2.5-1.5B,0.3187,0.1201,0.8071,0.6832,0.9619,0.9524
Qwen2.5-3B,0.9132,0.7988,0.8657,0.7618,0.9619,1.0
Qwen2.5-7B,0.977,0.9252,0.978,0.826,1.0,1.0
Qwen2.5-7B-8bit,0.9778,0.9273,0.9796,0.8246,1.0,1.0
